Município (PB),Categoria/Tipo,Nome do empreendimento,CNPJ,Endereço da Hospedagem,Imagens da Hospedagem e Localização no Mapa,Classificação/Avaliação,Valor médio da diária (R$) por quarto duplo,Quantidade de quartos (UH) ,Quantidade de camas (leitos),Capacidade (Quantidade de pessoas),Site/Rede sociais,Contatos (E-mail/Telefone)
Conde,Casa de temporada,Lidi House Carapibus - Seu Refúgio de Férias,,"Aruanã Pousada, Rua Rodrigo Nunes, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Brasil",https://www.airbnb.com.br/rooms/53311633?check_in=2026-03-10&check_out=2026-03-15,"10,0 Excepcional",1858,2,7,8,Airbnb,N/A
Conde,Casa de temporada,Mansão paz e amor,,"Rua Sebastião Pereira da Cunha, Barra de Gramame, João Pessoa, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, 58066-150, Brasil",https://www.airbnb.com.br/rooms/1422290680975031853?check_in=2026-03-10&check_out=2026-03-15,"9,6 Excepcional",2380,3,3,10,Airbnb,N/A
Conde,Casa de temporada,"Duplex com vista para o mar e piscina, Litoral Sul",,"Jacumã, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Brasil",https://www.airbnb.com.br/rooms/948365634189422947?check_in=2026-03-10&check_out=2026-03-15,"9,8 Excepcional",5409,3,4,6,Airbnb,N/A
Conde,Casa de temporada,Casa de Praia Jacumã,,"Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Brasil",https://www.airbnb.com.br/rooms/1512452602317339244?check_in=2026-03-10&check_out=2026-03-15,"9,8 Excepcional",1672,2,4,10,Airbnb,N/A
Conde,Casa de temporada,Refúgio Particular Entre Jacumã e Tambaba,,"Rua Antônio Valdevino Vieira, Jacumã, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Brasil",https://www.airbnb.com.br/rooms/1618162940651909335?check_in=2026-03-10&check_out=2026-03-15,NSA,2030,1,1,2,Airbnb,N/A
Conde,Casa de temporada,Alugue seu refúgio de veraneio,,"Rua das Carambolas, Muçumagro, João Pessoa, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, 58066-150, Brasil",https://www.airbnb.com.br/rooms/1274728395035408092?check_in=2026-03-10&check_out=2026-03-15,"10,0 Excepcional",981,2,4,6,Airbnb,N/A
Conde,Casa de temporada,"Venha para a Paraíba, onde o Sol nasce primeiro.",,"Rua Clovis Marques de Santana, Gramame, João Pessoa, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, 58064-580, Brasil",https://www.airbnb.com.br/rooms/1607356952481962109?check_in=2026-03-10&check_out=2026-03-15,NSA,795,2,2,4,Airbnb,N/A
Conde,Casa de temporada,Cobertura Localização Privilegiada em Jacuma,,"Rua dos Guarapes, Jacumã, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Brasil",https://www.airbnb.com.br/rooms/53439636?check_in=2026-03-10&check_out=2026-03-15,"9,8 Excepcional",1335,3,4,6,Airbnb,N/A
Conde,Casa de temporada,Refúgio 100m da praia com conforto e sofisticação,,"Rua Doutor Almir Correia, Jacumã, Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Região Nordeste, Brasil",https://www.airbnb.com.br/rooms/1015556432600439734?check_in=2026-03-10&check_out=2026-03-15,"9,9 Excepcional",1466,2,3,4,Airbnb,N/A
Conde,Casa de temporada,Desfrute AmarÉ,,"Conde, Região Geográfica Imediata de João Pessoa, Região Metropolitana de João Pessoa, Região Geográfica Intermediária de João Pessoa, Paraíba, Brasil",https://www.airbnb.com.br/rooms/1313971497873958982?check_in=2026-03-10&check_out=2026-03-15,"10,0 Excepcional",702,1,2,2,Airbnb,N/A
